Species,Species_Eng
Abborre,Perch
Mört,Roach
Strömming,Herring
Gärs,Ruffe
Björkna,Silver bream
Nors,Smelt
Löja,Bleak
Braxen,Bream
Gös,Zander
Sik,Whitefish
Skarpsill,Sprat
Skrubbskädda,European flounder
Hornsimpa,Fourhorn sculpin
Storspigg,Three-spined stickleback
Sill,Herring
Torsk,Cod
Sarv,Rudd
Svartmunnad smörbult,Round goby
Rötsimpa,Shorthorn sculpin
Siklöja,Vendace
Tånglake,Eelpout
Stäm,Dace
Svart smörbult,Black goby
Id,Ide
Gädda,Pike
Vimma,Vimba
Sutare,Tench
Tobiskung,Great sand eel
Oxsimpa,Longspined bullhead
Elritsa,Minnow
Mindre havsnål,Straightnose pipefish
Öring,Brown trout
Kusttobis,Lesser sand eel
Stensimpa,European bullhead
Piggvar,Turbot
Ruda,Crucian carp
Bergsimpa,Alpine bullhead
Gråsej,Pollock
Rödspätta,Plaice
Lake,Burbot
